source,destination,star rating,rating,offer type,price,date
ITAKA,"Turcja,Kemer",5,3.8,17.07 - 21.07.2025 (5 dni)Kraków 18:10All inclusive ultra 24h,2 299 zł,17.07-21.07.2025(5 dni)
ITAKA,"Bułgaria,Złote Piaski",4,4.7,29.07 - 1.08.2025 (4 dni)Warszawa-Okęcie 06:05All inclusive ultra,2 199 zł,29.07-1.08.2025(4 dni)
ITAKA,Uzbekistan,0,5.0,13.08 - 23.08.2025 (11 dni)Warszawa-Okęcie 16:103 posiłki,7 589 zł,13.08-23.08.2025(11 dni)
ITAKA,"Turcja,Finike",5,4.5,17.07 - 21.07.2025 (5 dni)Kraków 18:10All inclusive,2 299 zł,17.07-21.07.2025(5 dni)
ITAKA,"Albania,Durres",5,5.0,31.07 - 3.08.2025 (4 dni)Kraków 13:10All inclusive,2 699 zł,31.07-3.08.2025(4 dni)
ITAKA,Włochy,0,5.3,25.08 - 29.08.2025 (5 dni)Warszawa-Okęcie 20:25Śniadania,2 799 zł,25.08-29.08.2025(5 dni)
ITAKA,"Grecja,Zakynthos",5,5.1,27.07 - 3.08.2025 (8 dni)Katowice 04:30All inclusive,4 799 zł,27.07-3.08.2025(8 dni)
ITAKA,Dania,0,5.2,30.08 - 5.09.2025 (7 dni)Katowice 06:00Śniadania,3 818 zł,30.08-5.09.2025(7 dni)
ITAKA,"Włochy,Sycylia",4,5.2,20.07 - 27.07.2025 (8 dni)Katowice 06:00Full board plus,2 999 zł,20.07-27.07.2025(8 dni)
ITAKA,"Egipt,Marsa Alam",4,5.0,15.07 - 22.07.2025 (8 dni)Wrocław 16:25All inclusive,2 699 zł,15.07-22.07.2025(8 dni)
ITAKA,"Albania,Wlora",4,5.5,27.07 - 3.08.2025 (8 dni)Warszawa-Okęcie 08:15All inclusive,4 099 zł,27.07-3.08.2025(8 dni)
ITAKA,"Włochy,Sycylia",4,4.3,27.08 - 3.09.2025 (8 dni)Warszawa-Okęcie 07:402 posiłki,2 999 zł,27.08-3.09.2025(8 dni)
ITAKA,Chorwacja,0,2.5,15.07 - 23.07.2025 (8 dni)Katowice 15:152 posiłki,1 599 zł,15.07-23.07.2025(8 dni)
ITAKA,"Włochy,Sycylia",4,5.1,31.08 - 7.09.2025 (8 dni)Kraków 15:15All inclusive,3 399 zł,31.08-7.09.2025(8 dni)
ITAKA,"Tunezja,Zarzis",4,4.9,17.07 - 24.07.2025 (8 dni)Katowice 07:00All inclusive,2 399 zł,17.07-24.07.2025(8 dni)
ITAKA,"Włochy,Sardynia",4,5.2,18.07 - 25.07.2025 (8 dni)Warszawa-Okęcie 15:20All inclusive,3 399 zł,18.07-25.07.2025(8 dni)
ITAKA,"Turcja,Belek",5,4.8,1.08 - 6.08.2025 (6 dni)Wrocław 02:05All inclusive ultra 24h,3 579 zł,1.08-6.08.2025(6 dni)
ITAKA,Madagaskar,4,5.6,20.07 - 28.07.2025 (8 dni)Katowice 19:50All inclusive,6 599 zł,20.07-28.07.2025(8 dni)
ITAKA,"Wyspy Zielonego Przylądka,Sal",4,4.9,21.07 - 29.07.2025 (8 dni)Katowice 06:00All inclusive,5 499 zł,21.07-29.07.2025(8 dni)
ITAKA,"Grecja,Zakynthos",3,4.2,29.08 - 5.09.2025 (8 dni)Katowice 04:35All inclusive,2 899 zł,29.08-5.09.2025(8 dni)
ITAKA,"Turcja,Kemer",3,4.2,18.07 - 23.07.2025 (6 dni)Katowice 19:45All inclusive,2 499 zł,18.07-23.07.2025(6 dni)
ITAKA,"Hiszpania,Majorka",3,4.7,31.08 - 7.09.2025 (8 dni)Wrocław 11:15All inclusive,3 699 zł,31.08-7.09.2025(8 dni)
ITAKA,"Francja,Disneyland",0,5.0,16.08 - 21.08.2025 (6 dni)Mostki - Świebodzin 18:302 posiłki,2 178 zł,16.08-21.08.2025(6 dni)
ITAKA,"Włochy,Toskania",0,5.0,23.08 - 29.08.2025 (7 dni)Prudnik 18:30Śniadania,2 168 zł,23.08-29.08.2025(7 dni)
